focus,prompt_mode,samples,avg_prompt_tokens,avg_infer_time_s,avg_parsed_edge_ratio,avg_signal_ratio,avg_target_recall,avg_reverse_leakage,avg_weight_mae,avg_anchor_count,avg_parse_confidence,success_rate
directional_asymmetry,baseline_sparse_prompt,1,103,1.159,18.4,18.4,54.5,100.0,2.473,2,0.8,0.0
directional_asymmetry,spatiotemporal_enhanced_prompt,1,230,0.984,18.4,18.4,54.5,100.0,2.6,2,0.8,0.0
multi_constraint_conflict,baseline_sparse_prompt,1,106,0.959,26.5,26.5,71.4,100.0,1.057,3,0.8,0.0
multi_constraint_conflict,spatiotemporal_enhanced_prompt,1,282,1.63,26.5,18.4,71.4,100.0,0.786,6,0.895,0.0
propagation_range,baseline_sparse_prompt,1,112,0.319,8.2,8.2,40.0,100.0,4.84,1,0.8,0.0
propagation_range,spatiotemporal_enhanced_prompt,1,244,0.325,8.2,8.2,0.0,0.0,7.0,1,0.8,0.0
temporal_switch,baseline_sparse_prompt,1,118,0.344,10.2,10.2,100.0,100.0,3.35,1,0.8,0.0
temporal_switch,spatiotemporal_enhanced_prompt,1,192,0.505,10.2,10.2,100.0,100.0,0.5,2,0.885,0.0
