scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges
场景C 多路段复合拥堵,Sparse-LoRA★★,16.0,8,28.6,,,,,,,,,,,,,96,,,,,9.2,1.15,544.6,
场景C 多路段复合拥堵,R1-LoRA★,16.0,8,0.0,,,,,,,,,,,,,96,,,,,0.0,26.99,649.8,
场景C 多路段复合拥堵,R1-Raw,16.0,8,0.0,,,,,,,,,,,,,96,,,,,0.0,17.96,649.8,
场景C 多路段复合拥堵,Sparse-LoRA+GAT★★★,16.14,8,28.6,,,,,,,,,,,,,96,,,,,86.7,1.15,544.6,
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,8.0,8,26.7,0.07,0.07,0.0,0.0,0.0,1885.5,1885.58,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1885.58, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1885.58, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,536.5,96
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,17.6,8,46.7,0.08,0.08,0.0,0.0,0.0,2082.57,2082.65,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2082.65, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2082.65, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,490.4,96
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,17.5,9,46.7,,,,,,,,,,,,,96,,,,,89.8,0.0,581.4,
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,15.95,8,46.7,,,,,,,,,,,,,96,,,,,98.0,0.0,682.2,
场景D 中央核心节点封锁（强迫大范围绕行）,Raw-Qwen,16.0,8,26.7,,,,,,,,,,,,,96,,,,,0.0,7.35,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,CoT-Qwen,16.0,8,33.3,,,,,,,,,,,,,96,,,,,3.1,1.99,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,Qwen-LoRA★,8.0,8,26.7,,,,,,,,,,,,,0,,,,,0.0,7.14,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,LoRA+GAT★★,8.99,8,26.7,,,,,,,,,,,,,96,,,,,100.0,7.21,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,R1-Raw,23.5,8,26.7,,,,,,,,,,,,,96,,,,,1.0,32.12,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,R1-LoRA★,10.9,8,26.7,,,,,,,,,,,,,96,,,,,61.2,17.52,515.2,
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA★★,16.0,8,86.7,,,,,,,,,,,,,96,,,,,12.2,1.42,536.5,
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA+GAT★★★,16.83,8,86.7,,,,,,,,,,,,,96,,,,,93.9,1.43,490.4,
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,5.0,5,36.4,0.05,0.05,0.0,0.0,0.0,2014.68,2014.74,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2014.74, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2014.74, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,773.7,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,21.2,8,72.7,0.07,0.07,0.0,0.0,0.0,1836.16,1836.23,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1836.23, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1836.23, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,454.6,96
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,33.7,15,72.7,,,,,,,,,,,,,96,,,,,89.8,0.0,889.0,
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,17.45,6,72.7,,,,,,,,,,,,,96,,,,,98.0,0.0,394.1,
场景E 不对称方向拥堵（测试模型方向提取能力）,Raw-Qwen,10.0,5,36.4,,,,,,,,,,,,,96,,,,,0.0,6.4,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,CoT-Qwen,10.0,5,36.4,,,,,,,,,,,,,96,,,,,3.1,1.95,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,Qwen-LoRA★,3.6,5,36.4,,,,,,,,,,,,,96,,,,,70.4,14.96,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,LoRA+GAT★★,4.9,5,36.4,,,,,,,,,,,,,94,,,,,98.0,14.8,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-Raw,10.0,5,36.4,,,,,,,,,,,,,96,,,,,0.0,13.31,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-LoRA★,10.0,5,36.4,,,,,,,,,,,,,96,,,,,0.0,42.71,773.7,
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA★★,18.5,6,72.7,,,,,,,,,,,,,96,,,,,13.3,1.13,394.1,
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA+GAT★★★,19.58,6,72.7,,,,,,,,,,,,,96,,,,,98.0,1.14,394.1,
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.07,0.07,0.0,0.0,0.0,1838.42,1838.49,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1838.49, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1838.49, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.07,0.07,0.0,0.0,0.0,1844.75,1844.81,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1844.81, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1844.81, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,DQN,48.5,22,21.4,,,,,,,,,,,,,96,,,,,89.8,0.0,1456.5,
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,,,,,,,,,,,,,96,,,,,98.0,0.0,682.2,
场景F 大规模复合灾害（极限压力测试）,Raw-Qwen,16.0,8,21.4,,,,,,,,,,,,,96,,,,,0.0,13.27,446.5,
场景F 大规模复合灾害（极限压力测试）,CoT-Qwen,16.0,8,28.6,,,,,,,,,,,,,96,,,,,3.1,5.17,446.5,
场景F 大规模复合灾害（极限压力测试）,Qwen-LoRA★,8.0,8,21.4,,,,,,,,,,,,,0,,,,,0.0,11.27,446.5,
场景F 大规模复合灾害（极限压力测试）,LoRA+GAT★★,8.99,8,21.4,,,,,,,,,,,,,96,,,,,100.0,10.92,446.5,
场景F 大规模复合灾害（极限压力测试）,R1-Raw,28.8,8,21.4,,,,,,,,,,,,,96,,,,,81.6,29.25,446.5,
场景F 大规模复合灾害（极限压力测试）,R1-LoRA★,16.0,8,21.4,,,,,,,,,,,,,96,,,,,0.0,37.93,446.5,
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA★★,9.2,8,21.4,,,,,,,,,,,,,96,,,,,4.1,1.57,446.5,
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA+GAT★★★,10.15,8,21.4,,,,,,,,,,,,,96,,,,,85.7,1.57,446.5,
