Method,Method (CN),Category,Travel Time (s),Time Loss (s),Waiting Time (s),Stop Count,model_infer_time_s,route_solve_time_s,Planning Time (s),Constraint Rate (%),Signal Ratio (%),simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,Notes
Dijkstra,Dijkstra（等权）,Baseline,1276.116667,931.586667,914.683333,3.833,0.0,0.000201,0.000201,23.91,0.0,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
Rule-A*,规则 A*,Baseline,1257.116667,898.696667,880.116667,4.167,0.0,0.000698,0.000698,69.776667,91.7,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
DQN,DQN 强化学习,Baseline,1796.566667,1215.908333,1177.883333,7.5,0.0,0.032779,0.032779,69.776667,91.7,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
GCN-Weight,GCN 权重估计,Baseline,1471.9,1159.068333,1135.15,5.0,0.0,0.001027,0.001027,57.296667,71.85,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
Sparse-LoRA,Sparse-LoRA（stage4_fix）,Ours,1257.333333,989.786667,969.883333,4.333,1.334376,0.000208,1.334584,67.253333,8.483333,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
Sparse-LoRA+GAT,Sparse-LoRA+GAT（stage4_fix）,Extended,1257.333333,989.786667,969.883333,4.333,1.263681,0.000201,1.263883,67.253333,100.0,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,Exploratory graph-smoothing extension; not used as the frozen mainline method.
