scene_profile,scene_name,simulation_seed,warmup_seconds,evaluation_window,travel_time_s,planning_time_s,constraint_rate,candidate_count,selected_candidate_label,selected_candidate_source,selected_path,policy_path,train_episodes,train_wall_time_s,reward_definition,parser_type
normal_baseline,场景N normal_baseline 正常通行,101,120,120-1800,235.8,0.00098,100.0,3,cand_dijkstra,Dijkstra,R3C0_E|R3C1_E|R3C2_E|R3C3_E|R3C4_E,/root/autodl-tmp/results/final_tables/dqn_scene_policies/normal_baseline_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
simple_local,场景A 黄河路单向拥堵,111,180,180-2100,706.7,0.000693,100.0,3,cand_rule_astar,Rule-A*,R3C0_E|C1R3_N|R4C1_E|R4C2_E|R4C3_E|R4C4_E,/root/autodl-tmp/results/final_tables/dqn_scene_policies/simple_local_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
directional_asymmetry,场景E 方向不对称拥堵,202,180,180-2100,1336.0,0.000567,85.71,3,cand_gcn_weight,GCN-Weight,R4C0_E|C1R3_S|R3C1_E|R3C2_E|R3C3_E|R3C4_E,/root/autodl-tmp/results/final_tables/dqn_scene_policies/directional_asymmetry_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
core_blockage,场景D 中央核心节点封锁,303,240,240-2400,1927.1,0.000319,100.0,3,cand_gcn_weight,GCN-Weight,R0C0_E|R0C1_E|R0C2_E|R0C3_E|C4R0_N|C4R1_N|C4R2_N|C4R3_N,/root/autodl-tmp/results/final_tables/dqn_scene_policies/core_blockage_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
propagation_range,场景G 传播范围外溢,404,240,240-2400,2001.6,0.000327,100.0,3,cand_gcn_weight,GCN-Weight,R0C0_E|R0C1_E|R0C2_E|R0C3_E|C4R0_N|C4R1_N|C4R2_N|C4R3_N,/root/autodl-tmp/results/final_tables/dqn_scene_policies/propagation_range_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
compound_disaster,场景C 多路段复合拥堵,505,300,300-2700,2400.1,0.000348,81.82,3,cand_dijkstra,Dijkstra,R0C0_E|C1R0_N|C1R1_N|C1R2_N|R3C1_E|R3C2_E|R3C3_E|R3C4_E,/root/autodl-tmp/results/final_tables/dqn_scene_policies/compound_disaster_dqn_policy.zip,200,0.0,-travel_time_s,independent_text_vectorizer_96d
