scenario,method,path_cost,path_len,constraint_rate,planning_ms,coverage,time_s,sumo_time,total_edges
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-Raw,10.0,5,36.4,24770.0,0.0,24.77,773.7,96
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-LoRA★,10.0,5,36.4,50790.0,0.0,50.79,773.7,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA★★,18.5,6,72.7,1410.0,13.3,1.41,394.1,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA+GAT★★★,19.63,6,72.7,1410.0,95.9,1.41,394.1,96
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.0,0.0,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.0,89.8,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,DQN,48.5,22,21.4,0.0,89.8,0.0,1456.5,96
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,0.0,98.0,0.0,682.2,96
场景F 大规模复合灾害（极限压力测试）,Raw-Qwen,16.0,8,21.4,12570.0,0.0,12.57,446.5,96
场景F 大规模复合灾害（极限压力测试）,CoT-Qwen,16.0,8,28.6,5770.0,3.1,5.77,446.5,96
场景F 大规模复合灾害（极限压力测试）,Qwen-LoRA★,8.0,8,21.4,13860.0,0.0,13.86,446.5,96
场景F 大规模复合灾害（极限压力测试）,LoRA+GAT★★,9.0,8,21.4,13910.0,98.0,13.91,446.5,96
场景F 大规模复合灾害（极限压力测试）,R1-Raw,45.5,9,57.1,30320.0,91.8,30.32,618.3,96
场景F 大规模复合灾害（极限压力测试）,R1-LoRA★,38.1,8,50.0,27570.0,98.0,27.57,496.1,96
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA★★,9.2,8,21.4,1810.0,4.1,1.81,446.5,96
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA+GAT★★★,10.16,8,21.4,1820.0,84.7,1.82,446.5,96
