method,scenario,preset_id,scene_profile,start_edge,end_edge,travel_time_s,planning_time_s,model_infer_time_s,route_solve_time_s,constraint_rate,signal_ratio,signal_edges,parsed_edges,parsed_edge_ratio,default_edges,path_len,path_cost,simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,scene_profile_version,notes
DCRNN-inspired,场景N normal_baseline 正常通行,N,normal_baseline,R3C0_E,R3C4_E,235.8,0.00163,0.0,0.00163,100.0,77.1,74,96,100.0,22,5,10.6,101,120,120,1800,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DCRNN-inspired,场景A 黄河路单向拥堵,A,simple_local,R3C0_E,R3C4_E,706.7,0.00156,0.0,0.00156,100.0,81.2,78,96,100.0,18,6,15.03,111,180,180,2100,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DCRNN-inspired,场景E 方向不对称拥堵,E,directional_asymmetry,R4C0_E,R4C4_E,1336.0,0.001365,0.0,0.001365,71.43,85.4,82,96,100.0,14,6,16.06,202,180,180,2100,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DCRNN-inspired,场景D 中央核心节点封锁,D,core_blockage,R0C0_E,R4C3_E,1927.1,0.001427,0.0,0.001427,37.5,83.3,80,96,100.0,16,8,16.3,303,240,240,2400,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DCRNN-inspired,场景G 传播范围外溢,G,propagation_range,R0C0_E,C4R3_N,2113.6,0.003107,0.0,0.003107,16.67,77.1,74,96,100.0,22,8,15.98,404,240,240,2400,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DCRNN-inspired,场景C 多路段复合拥堵,C,compound_disaster,R0C0_E,R3C4_E,2400.1,0.003095,0.0,0.003095,18.18,81.2,78,96,100.0,18,8,15.53,505,300,300,2700,sha256:eb0410e2b384,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
