Method,Method (CN),Category,Travel Time (s),model_infer_time_s,route_solve_time_s,Planning Time (s),Constraint Rate (%),Signal Ratio (%),simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,Notes
Dijkstra,Dijkstra（等权）,Classical,1360.6,0.0,0.000208,0.000208,23.91,0.0,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,Classical shortest-path baseline with fixed default edge costs under the scene-profile-fixed live SUMO protocol.
Rule-A*,规则 A*,Classical,1446.466667,0.0,0.000617,0.000617,69.776667,91.7,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,Classical rule-weighted A* baseline under the scene-profile-fixed live SUMO protocol.
GCN-Weight (Kipf & Welling),GCN-Weight（Kipf & Welling）,GNN,1434.55,0.0,0.000915,0.000915,57.296667,71.85,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,Lightweight graph-weight baseline with citation anchor to Kipf & Welling (2017); the repo implementation remains a minimal graph estimator under the live SUMO chain.
DCRNN-inspired,DCRNN-inspired（扩散聚合）,GNN,1453.216667,0.0,0.002031,0.002031,57.296667,80.883333,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,This baseline is DCRNN-inspired and only reuses diffusion-style graph aggregation on a fixed graph; it is not a full DCRNN reproduction.
DQN-RouteSelector,DQN（候选路径选择）,RL,1434.55,0.0,0.000539,0.000539,94.588333,n/a,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,repaired DQN baseline；独立 candidate-route selection policy，不复用 rule-based weights 作为输出；Planning Time 仅统计 policy inference + 下游选路，不含训练时间。
CoT-Qwen,CoT-Qwen（提示推理）,LLM-Prompt,1447.533333,7.79203,0.000121,7.792151,40.133333,3.1,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,"Qwen2.5-1.5B-Instruct + chain-of-thought prompting baseline (Wei et al., 2022), rerun on the live scene-profile-fixed SUMO protocol."
R1-Raw,R1-Raw（DeepSeek-R1 基座）,LLM-Prompt,1335.7,25.507808,0.000112,25.50792,35.02,17.716667,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,"DeepSeek-R1 raw reasoning prompt baseline, rerun on the live scene-profile-fixed SUMO protocol for citation-ready comparison."
Sparse-LoRA,Sparse-LoRA（stage4_fix）,Ours,1190.25,1.422657,0.000228,1.422885,70.283333,9.183333,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
Sparse-LoRA+GAT,Sparse-LoRA+GAT（扩展图增强）,Extended,1190.25,1.33446,0.000217,1.334677,70.283333,100.0,101|111|202|303|404|505,120|180|180|240|240|300,120|180|180|240|240|300,1800|2100|2100|2400|2400|2700,Extended graph-enhanced variant of Sparse-LoRA using gat_model_v2_gated.pt under the same live SUMO chain; kept outside the core method claim.
