scope,scope_name,count,baseline_method,baseline_dense_weight_mae,baseline_MAE_on_changed_edges,baseline_MAE_on_target_edges,baseline_gt_changed_edge_recall,baseline_target_recall,baseline_parse_fail_rate_strict,main_method,main_dense_weight_mae,main_MAE_on_changed_edges,main_MAE_on_target_edges,main_gt_changed_edge_recall,main_target_recall,main_parse_fail_rate_strict,main_dense_mae_delta_vs_sparse,main_changed_mae_delta_vs_sparse,main_target_mae_delta_vs_sparse,main_gt_changed_recall_delta_vs_sparse,main_target_recall_delta_vs_sparse,appendix_method,appendix_dense_weight_mae,appendix_MAE_on_changed_edges,appendix_MAE_on_target_edges,appendix_gt_changed_edge_recall,appendix_target_recall,appendix_parse_fail_rate_strict,appendix_dense_mae_delta_vs_sparse,appendix_changed_mae_delta_vs_sparse,appendix_target_mae_delta_vs_sparse,appendix_gt_changed_recall_delta_vs_sparse,appendix_target_recall_delta_vs_sparse
overall,overall,540,Sparse-LoRA-v2,0.0073,0.0932,0.0117,89.3,99.6,0.0537,Sparse-LoRA-v2 + Gated-GAT-v2,0.2012,0.1132,0.0109,89.3,99.6,0.0537,0.1939,0.02,-0.0008,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2282,0.973,0.9699,89.3,99.6,0.0537,0.2209,0.8798,0.9582,0.0,0.0
overall:scene_type,simple_local,139,Sparse-LoRA-v2,0.0037,0.2901,0.0,63.7,100.0,0.2086,Sparse-LoRA-v2 + Gated-GAT-v2,0.2021,0.3626,0.0,63.7,100.0,0.2086,0.1984,0.0725,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2152,1.3882,1.6091,63.7,100.0,0.2086,0.2115,1.0981,1.6091,0.0,0.0
overall:scene_type,directional_asymmetry,71,Sparse-LoRA-v2,0.0064,0.2256,0.0,71.8,100.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2024,0.2821,0.0,71.8,100.0,0.0,0.196,0.0565,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2218,0.9616,0.9466,71.8,100.0,0.0,0.2154,0.736,0.9466,0.0,0.0
overall:scene_type,propagation_range,112,Sparse-LoRA-v2,0.0,0.0,0.0,100.0,100.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1902,0.0,0.0,100.0,100.0,0.0,0.1902,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2424,1.0651,1.0651,100.0,100.0,0.0,0.2424,1.0651,1.0651,0.0,0.0
overall:scene_type,compound_disaster,87,Sparse-LoRA-v2,0.0043,0.0636,0.0335,95.0,98.9,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1912,0.0693,0.0312,95.0,98.9,0.0,0.1869,0.0057,-0.0023,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2417,0.822,0.8147,95.0,98.9,0.0,0.2374,0.7584,0.7812,0.0,0.0
split,val_anti_truncation,180,Sparse-LoRA-v2,0.0112,0.0251,0.0129,98.0,99.6,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2027,0.0273,0.012,98.0,99.6,0.0,0.1915,0.0022,-0.0009,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2391,1.0037,1.0038,98.0,99.6,0.0,0.2279,0.9786,0.9909,0.0,0.0
