table_role,scope,scope_name,count,comparison_type,main_result_eligible,baseline_method,baseline_dense_weight_mae,baseline_MAE_on_changed_edges,gated_method,gated_dense_weight_mae,gated_MAE_on_changed_edges,gated_dense_mae_delta_vs_sparse,gated_changed_mae_delta_vs_sparse,always_method,always_dense_weight_mae,always_MAE_on_changed_edges,always_dense_mae_delta_vs_sparse,always_changed_mae_delta_vs_sparse,positioning_note
appendix_only_exploratory,overall,overall,540,exploratory_comparison,no,Sparse-LoRA-v2,0.0073,0.0932,Sparse-LoRA-v2 + Gated-GAT-v2,0.2012,0.1132,0.1939,0.02,Sparse-LoRA-v2 + Always-GAT-v2,0.2282,0.973,0.2209,0.8798,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,simple_local,139,exploratory_comparison,no,Sparse-LoRA-v2,0.0037,0.2901,Sparse-LoRA-v2 + Gated-GAT-v2,0.2021,0.3626,0.1984,0.0725,Sparse-LoRA-v2 + Always-GAT-v2,0.2152,1.3882,0.2115,1.0981,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,directional_asymmetry,71,exploratory_comparison,no,Sparse-LoRA-v2,0.0064,0.2256,Sparse-LoRA-v2 + Gated-GAT-v2,0.2024,0.2821,0.196,0.0565,Sparse-LoRA-v2 + Always-GAT-v2,0.2218,0.9616,0.2154,0.736,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,core_blockage,44,exploratory_comparison,no,Sparse-LoRA-v2,0.0074,0.1696,Sparse-LoRA-v2 + Gated-GAT-v2,0.2005,0.212,0.1931,0.0424,Sparse-LoRA-v2 + Always-GAT-v2,0.2053,0.3214,0.1979,0.1518,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,propagation_range,112,exploratory_comparison,no,Sparse-LoRA-v2,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1902,0.0,0.1902,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2424,1.0651,0.2424,1.0651,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,compound_disaster,87,exploratory_comparison,no,Sparse-LoRA-v2,0.0043,0.0636,Sparse-LoRA-v2 + Gated-GAT-v2,0.1912,0.0693,0.1869,0.0057,Sparse-LoRA-v2 + Always-GAT-v2,0.2417,0.822,0.2374,0.7584,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,overall:scene_type,temporal_switch,87,exploratory_comparison,no,Sparse-LoRA-v2,0.0263,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2234,0.0,0.1971,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.234,2.01,0.2077,2.01,"Exploratory comparison only; not part of the paper main result."
appendix_only_exploratory,split,val_anti_truncation,180,exploratory_comparison,no,Sparse-LoRA-v2,0.0112,0.0251,Sparse-LoRA-v2 + Gated-GAT-v2,0.2027,0.0273,0.1915,0.0022,Sparse-LoRA-v2 + Always-GAT-v2,0.2391,1.0037,0.2279,0.9786,"Exploratory comparison only; not part of the paper main result."
