scene_name,speed_profile,tls_profile_name,incident_setting,blocked_edges,lane_reduction,demand_profile,reroute_enabled,reroute_period,reroute_threshold_factor,reroute_threshold_constant,seed_policy,simulation_seed,warmup_seconds,evaluation_window,vehicle_depart_window,reroute_trigger_mode
normal_baseline,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0,none,none,none,urban_baseline (depart_rate=1.00),no,60,1.25,5.0,scene_profile_fixed_seed_single_run,101,120,120-1800 s,120-120 s,periodic
simple_local,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0,2 edges [R3C0_E:severe; R3C1_E:heavy],none,1 edges [R3C0_E->1 lane],localized_peak (depart_rate=1.05),no,60,1.25,5.0,scene_profile_fixed_seed_single_run,111,180,180-2100 s,180-180 s,periodic
directional_asymmetry,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_0,7 edges [R4C0_E:severe; R4C1_E:severe; R4C2_E:heavy; R4C3_E:heavy; C5R0_S:moderate; C5R1_S:moderate; C5R2_S:light],none,1 edges [R4C1_E->1 lane],directional_bias (depart_rate=1.10),no,60,1.25,5.0,scene_profile_fixed_seed_single_run,202,180,180-2100 s,180-180 s,periodic
core_blockage,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_2,3 edges [C1R1_S:severe; C1R2_S:heavy; C3R1_N:light],4 edges [C4R0_N; C4R1_N; C2R1_N; C2R2_N],1 edges [C4R2_N->1 lane],core_blockage_peak (depart_rate=1.25),no,60,1.25,5.0,scene_profile_fixed_seed_single_run,303,240,240-2400 s,240-240 s,periodic
propagation_range,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_2,3 edges [C4R1_N:moderate; C4R2_N:moderate; R1C2_E:light],3 edges [C2R0_N; C2R1_N; C2R2_N],1 edges [C4R1_N->1 lane],spillover_heavy (depart_rate=1.20),yes,45,1.12,8.0,scene_profile_fixed_seed_single_run,404,240,240-2400 s,240-240 s,periodic
compound_disaster,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_2,5 edges [R3C0_E:heavy; R3C1_E:heavy; C4R2_N:moderate; C1R1_S:severe; C1R2_S:heavy],4 edges [C2R1_N; C2R1_S; C2R2_N; C2R2_S],2 edges [C4R1_N->1 lane; R3C2_E->1 lane],compound_disaster_peak (depart_rate=1.35),yes,30,1.1,10.0,scene_profile_fixed_seed_single_run,505,300,300-2700 s,300-300 s,periodic
temporal_switch,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_0,3 edges [R3C0_E:severe; R3C1_E:heavy; R3C2_E:moderate],none,none,rush_hour_slice (depart_rate=1.30),no,60,1.25,5.0,scene_profile_fixed_seed_single_run,606,300,300-1800 s,300-300 s,periodic
anti_truncation_eval,base=1.00; blocked=0.04; lane_reduction=0.72; min_speed_mps=0.35; levels=normal:1.00|relief:1.08|mild:0.82|moderate:0.62|heavy:0.45|severe:0.28|blocked:0.04|lane_reduction:0.72,static_program_0_phase_0,13 edges [R0C1_E:moderate; R0C2_E:heavy; R1C0_E:light; R1C3_E:moderate; R3C1_E:severe; R3C2_E:heavy; R4C0_E:light; R4C2_E:moderate; C1R0_N:moderate; C1R2_S:heavy; C3R1_N:light; C4R1_N:moderate; C5R2_S:moderate],2 edges [C2R0_N; C2R2_N],3 edges [R3C1_E->1 lane; C4R1_N->1 lane; R1C3_E->1 lane],coverage_stress (depart_rate=1.15),yes,30,1.08,6.0,scene_profile_fixed_seed_single_run,909,300,300-3000 s,300-300 s,periodic
