Scenario,Method,Travel Time (s),model_infer_time_s,route_solve_time_s,Planning Time (s),Constraint Rate (%),Parsed Edge Ratio (%),Signal Ratio (%),Status,Failed,Failure Reason
场景E 不对称方向拥堵（测试模型方向提取能力）,LoRA+GAT,773.7,19.21,0.000020,19.210020,36.4,100.0,87.5,ok,False,
场景F 大规模复合灾害（极限压力测试）,LoRA+GAT,446.5,13.02,0.000080,13.020080,21.4,0.0,41.7,parse_failed_default_2.0,False,parser returned no valid edge weights; fallback to default 2.0
场景A 黄河路单向拥堵,R1-Raw,623.9,16.64,0.000070,16.640070,50.0,0.0,0.0,ok,False,
场景B 花园路封闭绕行,R1-Raw,708.4,26.07,0.000020,26.070020,40.0,79.2,79.2,ok,False,
场景C 多路段复合拥堵,R1-Raw,649.8,14.17,0.000080,14.170080,0.0,20.8,19.8,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,R1-Raw,536.5,49.23,0.000060,49.230060,26.7,97.9,39.6,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-Raw,773.7,24.69,0.000060,24.690060,36.4,0.0,0.0,ok,False,
场景F 大规模复合灾害（极限压力测试）,R1-Raw,618.3,28.67,0.000070,28.670070,57.1,92.7,92.7,ok,False,
场景A 黄河路单向拥堵,R1-LoRA,623.9,28.53,0.000070,28.530070,50.0,0.0,0.0,ok,False,
场景B 花园路封闭绕行,R1-LoRA,1685.0,27.16,0.000060,27.160060,80.0,100.0,100.0,ok,False,
场景C 多路段复合拥堵,R1-LoRA,588.7,26.20,0.000080,26.200080,0.0,100.0,53.1,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,R1-LoRA,546.5,30.00,0.000070,30.000070,40.0,100.0,58.3,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-LoRA,773.7,49.75,0.000060,49.750060,36.4,0.0,0.0,ok,False,
场景F 大规模复合灾害（极限压力测试）,R1-LoRA,496.1,27.28,0.000080,27.280080,50.0,99.0,99.0,ok,False,
场景A 黄河路单向拥堵,Sparse-LoRA,436.8,1.15,0.000080,1.150080,100.0,9.4,9.4,ok,False,
场景B 花园路封闭绕行,Sparse-LoRA,708.4,1.14,0.000080,1.140080,100.0,8.3,8.3,ok,False,
场景C 多路段复合拥堵,Sparse-LoRA,544.6,1.50,0.000080,1.500080,28.6,9.4,9.4,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA,536.5,1.88,0.000080,1.880080,86.7,12.5,12.5,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA,394.1,1.36,0.000070,1.360070,72.7,12.5,12.5,ok,False,
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA,446.5,1.82,0.000080,1.820080,21.4,4.2,4.2,ok,False,
场景A 黄河路单向拥堵,Sparse-LoRA+GAT,436.8,1.17,0.000070,1.170070,100.0,9.4,64.6,ok,False,
场景B 花园路封闭绕行,Sparse-LoRA+GAT,708.4,1.16,0.000060,1.160060,100.0,8.3,64.6,ok,False,
场景C 多路段复合拥堵,Sparse-LoRA+GAT,544.6,1.52,0.000080,1.520080,28.6,9.4,47.9,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA+GAT,490.4,1.86,0.000080,1.860080,86.7,12.5,64.6,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA+GAT,394.1,1.35,0.000070,1.350070,72.7,12.5,81.2,ok,False,
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA+GAT,446.5,1.83,0.000080,1.830080,21.4,4.2,45.8,ok,False,
