scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,failed,failure_reason,parse_failed,parse_failure_reason,fallback_status
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,8.0,8,26.7,0.07,0.07,0.0,0.0,0.0,1890.08,1890.16,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1890.16, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1890.16, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,17.6,8,46.7,0.08,0.08,0.0,0.0,0.0,1863.98,1864.06,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1864.06, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1864.06, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,490.4,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,10.0,4,46.7,0.08,0.08,0.0,0.0,0.0,1754.28,1754.36,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1754.36, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1754.36, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,15.95,8,46.7,0.07,0.07,0.0,0.0,0.0,2281.79,2281.87,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2281.87, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2281.87, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,682.2,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,5.0,5,36.4,0.09,0.09,0.0,0.0,0.0,2006.79,2006.89,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2006.89, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2006.89, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,21.2,8,72.7,0.07,0.07,0.0,0.0,0.0,1962.98,1963.05,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1963.05, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1963.05, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,454.6,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,33.7,15,72.7,0.07,0.07,0.0,0.0,0.0,2079.26,2079.33,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2079.33, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2079.33, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,889.0,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,17.45,6,72.7,0.06,0.06,0.0,0.0,0.0,1816.88,1816.94,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1816.94, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1816.94, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,394.1,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.07,0.07,0.0,0.0,0.0,1868.74,1868.81,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1868.81, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1868.81, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.07,0.07,0.0,0.0,0.0,1847.88,1847.95,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1847.95, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1847.95, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,DQN,15.8,10,21.4,0.07,0.07,0.0,0.0,0.0,1848.76,1848.83,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1848.83, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1848.83, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,529.7,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,0.07,0.07,0.0,0.0,0.0,2267.6,2267.67,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2267.67, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2267.67, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,682.2,96,ok,False,,False,,ok
